"","admin","year","sex","hiv_rate"
"1","ARG",2010,"Both sexes",17.6
"2","ARG",2011,"Both sexes",17.4
"3","ARG",2012,"Both sexes",17.3
"4","ARG",2013,"Both sexes",17.1
"5","ARG",2014,"Both sexes",15.3
"6","ARG",2015,"Both sexes",15.3
"7","ARG",2016,"Both sexes",14.2
"8","ARG",2017,"Both sexes",11.1
"9","ARG",2018,"Both sexes",13.6
"10","ARG",2019,"Both sexes",12.9
"11","ARG",2020,"Both sexes",8.1
"12","ARG",2021,"Both sexes",11.6
"13","ARG",2022,"Both sexes",12.2
"14","ARG",2010,"Female",11.6
"15","ARG",2011,"Female",11.1
"16","ARG",2012,"Female",11.1
"17","ARG",2013,"Female",10.9
"18","ARG",2014,"Female",9.1
"19","ARG",2015,"Female",8.6
"20","ARG",2016,"Female",8.2
"21","ARG",2017,"Female",6.3
"22","ARG",2018,"Female",7.8
"23","ARG",2019,"Female",7.5
"24","ARG",2020,"Female",4.6
"25","ARG",2021,"Female",6.7
"26","ARG",2022,"Female",7.3
"27","ARG",2010,"Male",23.9
"28","ARG",2011,"Male",24
"29","ARG",2012,"Male",23.7
"30","ARG",2013,"Male",23.6
"31","ARG",2014,"Male",21.7
"32","ARG",2015,"Male",22.3
"33","ARG",2016,"Male",20.5
"34","ARG",2017,"Male",16.2
"35","ARG",2018,"Male",19.5
"36","ARG",2019,"Male",18.4
"37","ARG",2020,"Male",11.7
"38","ARG",2021,"Male",16.6
"39","ARG",2022,"Male",17.2
